Kode,NamaProduk,TanggalPencatatan,ManajemenInvestasi,DealerPartisipan,HargaPencatatanAwal,HargaPenutupanHarian,LastDividend
XKID,Reksa Dana Indeks KISI IDX30 ETF,2023-11-24T00:00:00,PT KISI Asset Management,,1000.0,1087.0,0.0
XMGB,Reksa Dana Majoris Government Bonds ETF Indonesia,2023-06-15T00:00:00,PT Majoris Asset Management,,1000.0,1011.0,0.0
XMLF,Reksa Dana Indeks Mandiri ETF LQ45,2023-03-06T00:00:00,PT Mandiri Manajemen Investasi,,946.0,1040.0,0.0
XCEG,Reksa Dana Indeks Capital ETF IDX ESG Leaders,2022-04-28T00:00:00,PT Capital Asset Management,,100.0,109.0,0.0
XBIG,Reksa Dana Indeks BNP Paribas IDX Growth30 ETF,2021-09-21T00:00:00,PT BNP Paribas Asset Management,,500.0,627.0,0.0
XIFE,Reksa Dana Indeks Premier ETF FTSE Indonesia ESG,2021-03-25T00:00:00,PT Indo Premier Investment Management,,101.0,122.0,0.0
XKMS,Reksa Dana Indeks KISI MSCI Indonesia ETF,2020-11-23T00:00:00,PT Kisi Asset Management,,1000.0,1364.0,0.0
XIID,Reksa Dana Indeks Premier ETF Index IDX30,2020-06-23T00:00:00,PT Indo Premier Investment Management,,423.0,556.0,0.0
XILV,Insight ETF FTSE Indonesia Low Volatility Factor,2020-06-11T00:00:00,PT Insight Investments Management,,100.0,147.0,0.0
XSSK,Reksa Dana Indeks SAM ETF SRI-KEHATI,2020-05-14T00:00:00,PT Samuel Aset Manajemen,,500.0,798.0,0.0
XIML,RD Indeks Premier ETF MSCI Indonesia Large Cap,2020-03-04T00:00:00,PT Indo Premier Investment Management,,247.0,306.0,0.0
XBES,RD INDEKS BNI-AM ETF MSCI ESG LEADERS INDONESIA,2020-01-09T00:00:00,PT BNI Asset Management,,998.0,1157.0,200.0
XNVE,Reksa Dana Indeks Nusadana ETF IDX Value30,2019-12-05T00:00:00,PT Nusadana Investama Indonesia,,151.0,151.0,0.0
XCLQ,Reksa Dana Indeks Cipta ETF Index LQ45,2019-11-27T00:00:00,PT Ciptadana Asset Management,,100.0,108.0,0.0
XKIV,Reksa Dana Indeks KISI IDX Value30 ETF,2019-11-12T00:00:00,PT KISI Asset Management,,500.0,495.0,0.0
XAFA,Reksa Dana Avrist ETF Fixed Rate Bond I,2019-10-18T00:00:00,PT Avrist Asset Management,,1013.0,774.0,25.69
XBIN,Reksa Dana Indeks Bahana ETF Bisnis - 27,2019-10-01T00:00:00,PT Bahana TCW Investment Management,,500.0,641.0,0.0
XSSI,Reksa Dana Syariah Indeks Simas ETF JII,2019-09-17T00:00:00,PT Sinarmas Asset Management,,100.0,75.0,0.0
XMIG,Reksa Dana Indeks Majoris Pefindo I-Grade ETF Indo,2019-07-25T00:00:00,PT Majoris Asset Management,,179.0,250.0,0.0
XAQA,Ashmore ETF LQ45 ALPHA,2019-07-12T00:00:00,PT Ashmore Asset Management Indonesia,,1003.0,1058.0,0.0
XPTD,Reksa Dana Indeks Panin ETF IDX30 Dinamis,2019-05-27T00:00:00,PT Panin Asset Management,,500.0,525.0,0.0
XBSK,Reksa Dana Indeks Batavia SRI-KEHATI ETF,2019-03-22T00:00:00,PT Batavia Prosperindo Aset Manajemen,,395.0,518.0,0.0
XBID,Reksa Dana Indeks Batavia IDX30 ETF,2019-02-19T00:00:00,PT Batavia Prosperindo Aset Manajemen	,,554.0,575.0,0.0
XIPI,Reksa Dana Indeks Premier ETF PEFINDO i-Grade ,2018-12-21T00:00:00,PT Indo Premier Investment Management,,160.0,259.0,0.0
XIHD,Reksadana Indeks Premier ETF IDX HIGH DIVIDEN 20,2018-12-18T00:00:00,PT Indo Premier Investment Management,,518.0,705.0,0.0
XSBC,Reksa Dana Indeks Simas ETF IDX30,2018-09-12T00:00:00,PT Sinarmas Asset Management,,100.0,113.0,0.0
XPFT,Reksa Dana Pinnacle FTSE Indonesia,2018-09-10T00:00:00,PT Pinnacle Persada Investama,,500.0,643.0,0.0
XBNI,Reksa Dana Indeks BNI-AM Nusantara ETF MSCI Indone,2018-05-23T00:00:00,PT BNI Asset Management,,1000.0,1217.0,36.0
XDIF,Reksa Dana Danareks ETF Indonesia Top 40,2018-04-23T00:00:00,PT Danareksa Investment Management,,500.0,497.0,0.0
XBLQ,Reksa Dana Batavia Smart Liquid ETF,2018-04-10T00:00:00,PT Batavia Prosperindo Aset Manajemen,,500.0,524.0,0.0
XPSG,Reksa Dana Pinnacle Indonesia ESG ETF,2018-02-02T00:00:00,PT Pinnacle Persada Investama,,500.0,443.0,0.0
XPDV,Reksa Dana Pinncale Core High Dividend ETF,2017-06-09T00:00:00,PT Pinnacle Persada Investama,,500.0,586.0,0.0
XISB,Premier ETF Indonesia Sovereign Bonds,2017-02-02T00:00:00,PT Indo Premier Investment Management,,398.0,398.0,2.01
XPLQ,Reksa Dana Pinacle Enhanced Liquid ETF ,2016-08-15T00:00:00,PT Pinnacle Persada Investama,,500.0,499.0,0.0
XISC,Premier ETF Indonesia State-Owned Companies,2015-10-01T00:00:00,PT Indo Premier Investment Management,,498.9277,762.0,7.83
XIIF,Reksa Dana Premier ETF Indonesia Financial ,2014-11-19T00:00:00,PT Indo Premier Investment Management,,499.0,557.0,5.72
XISR,Reksa Dana KIK Premier ETF SRI-KEHATI,2014-09-26T00:00:00,PT Indo Premier Investment Management,,295.0,515.0,0.0
XISI,Reksa Dana KIK Premier ETF SMinfra18,2014-03-06T00:00:00,PT Indo Premier Investment Management,,308.0,376.0,0.0
XIJI,Reksa Dana KIK Syariah Premier ETF JII,2013-04-30T00:00:00,PT Indo Premier Investment Management,,677.0,594.0,0.0
XIIC,Reksa Dana KIK Premier ETF Indonesia Consumer,2013-04-30T00:00:00,PT Indo Premier Investment Management,,1000.0,1038.0,0.0
XIIT,Reksa Dana KIK Premier IDX30,2012-10-30T00:00:00,PT Indo Premier Investment Management,,380.0,580.0,5.98
R-ABFII,Reksa Dana KIK ABF IBI Funds,2007-12-18T00:00:00,PT Bahana TCW Investment Management,,13803.0,28600.0,0.0
R-LQ45X,Reksa Dana KIK Premier LQ45,2007-12-18T00:00:00,PT Indo Premier Investment Management,,584.0,1136.0,11.53
